id,precinct,office,candidate,party,votes
107,Hastings 1,Governor (DEM),Andrew M. Cuomo,,19
108,Hastings 1,Governor (DEM),Write-ins,,0
109,Hastings 1,Governor (DEM),Voids/Blanks,,2
110,Hastings 2,Governor (DEM),,,
111,Hastings 2,Governor (DEM),Ballots,,24
112,Hastings 2,Governor (DEM),Cynthia E. Nixon,,16
113,Hastings 2,Governor (DEM),Andrew M. Cuomo,,8
114,Hastings 2,Governor (DEM),Write-ins,,0
115,Hastings 2,Governor (DEM),Voids/Blanks,,0
116,Hastings 3,Governor (DEM),,,
117,Hastings 3,Governor (DEM),Ballots,,58
118,Hastings 3,Governor (DEM),Cynthia E. Nixon,,38
119,Hastings 3,Governor (DEM),Andrew M. Cuomo,,19
120,Hastings 3,Governor (DEM),Write-ins,,0
121,Hastings 3,Governor (DEM),Voids/Blanks,,1
122,Hastings 4,Governor (DEM),,,
123,Hastings 4,Governor (DEM),Ballots,,13
124,Hastings 4,Governor (DEM),Cynthia E. Nixon,,5
125,Hastings 4,Governor (DEM),Andrew M. Cuomo,,8
126,Hastings 4,Governor (DEM),Write-ins,,0
127,Hastings 4,Governor (DEM),Voids/Blanks,,0
128,Hastings 5,Governor (DEM),,,
129,Hastings 5,Governor (DEM),Ballots,,22
130,Hastings 5,Governor (DEM),Cynthia E. Nixon,,9
131,Hastings 5,Governor (DEM),Andrew M. Cuomo,,13
132,Hastings 5,Governor (DEM),Write-ins,,0
133,Hastings 5,Governor (DEM),Voids/Blanks,,0
134,Hastings 6,Governor (DEM),,,
135,Hastings 6,Governor (DEM),Ballots,,1
136,Hastings 6,Governor (DEM),Cynthia E. Nixon,,1
137,Hastings 6,Governor (DEM),Andrew M. Cuomo,,0
138,Hastings 6,Governor (DEM),Write-ins,,0
139,Hastings 6,Governor (DEM),Voids/Blanks,,0
140,Hastings 7,Governor (DEM),,,
141,Hastings 7,Governor (DEM),Ballots,,22
142,Hastings 7,Governor (DEM),Cynthia E. Nixon,,13
143,Hastings 7,Governor (DEM),Andrew M. Cuomo,,9
144,Hastings 7,Governor (DEM),Write-ins,,0
145,Hastings 7,Governor (DEM),Voids/Blanks,,0
146,Hastings 8,Governor (DEM),,,
147,Hastings 8,Governor (DEM),Ballots,,60
148,Hastings 8,Governor (DEM),Cynthia E. Nixon,,29
149,Hastings 8,Governor (DEM),Andrew M. Cuomo,,30
150,Hastings 8,Governor (DEM),Write-ins,,0
151,Hastings 8,Governor (DEM),Voids/Blanks,,1
152,Mexico 1,Governor (DEM),,,
153,Mexico 1,Governor (DEM),Ballots,,29
154,Mexico 1,Governor (DEM),Cynthia E. Nixon,,18
155,Mexico 1,Governor (DEM),Andrew M. Cuomo,,11
156,Mexico 1,Governor (DEM),Write-ins,,0
157,Mexico 1,Governor (DEM),Voids/Blanks,,0
158,Mexico 2,Governor (DEM),,,
159,Mexico 2,Governor (DEM),Ballots,,27
160,Mexico 2,Governor (DEM),Cynthia E. Nixon,,21
161,Mexico 2,Governor (DEM),Andrew M. Cuomo,,6
162,Mexico 2,Governor (DEM),Write-ins,,0
163,Mexico 2,Governor (DEM),Voids/Blanks,,0
164,Mexico 3,Governor (DEM),,,
165,Mexico 3,Governor (DEM),Ballots,,41
166,Mexico 3,Governor (DEM),Cynthia E. Nixon,,21
167,Mexico 3,Governor (DEM),Andrew M. Cuomo,,20
168,Mexico 3,Governor (DEM),Write-ins,,0
169,Mexico 3,Governor (DEM),Voids/Blanks,,0
170,Mexico 4,Governor (DEM),,,
171,Mexico 4,Governor (DEM),Ballots,,12
172,Mexico 4,Governor (DEM),Cynthia E. Nixon,,4
173,Mexico 4,Governor (DEM),Andrew M. Cuomo,,7
174,Mexico 4,Governor (DEM),Write-ins,,0
175,Mexico 4,Governor (DEM),Voids/Blanks,,1
176,Minetto 1,Governor (DEM),,,
177,Minetto 1,Governor (DEM),Ballots,,77
178,Minetto 1,Governor (DEM),Cynthia E. Nixon,,32
179,Minetto 1,Governor (DEM),Andrew M. Cuomo,,45
180,Minetto 1,Governor (DEM),Write-ins,,0
181,Minetto 1,Governor (DEM),Voids/Blanks,,0
182,Minetto 2,Governor (DEM),,,
183,Minetto 2,Governor (DEM),Ballots,,22
184,Minetto 2,Governor (DEM),Cynthia E. Nixon,,13
185,Minetto 2,Governor (DEM),Andrew M. Cuomo,,8
186,Minetto 2,Governor (DEM),Write-ins,,0
187,Minetto 2,Governor (DEM),Voids/Blanks,,1
188,New Haven 1,Governor (DEM),,,
189,New Haven 1,Governor (DEM),Ballots,,43
190,New Haven 1,Governor (DEM),Cynthia E. Nixon,,20
191,New Haven 1,Governor (DEM),Andrew M. Cuomo,,23
192,New Haven 1,Governor (DEM),Write-ins,,0
193,New Haven 1,Governor (DEM),Voids/Blanks,,0
194,New Haven 2,Governor (DEM),,,
195,New Haven 2,Governor (DEM),Ballots,,11
196,New Haven 2,Governor (DEM),Cynthia E. Nixon,,6
197,New Haven 2,Governor (DEM),Andrew M. Cuomo,,4
198,New Haven 2,Governor (DEM),Write-ins,,0
199,New Haven 2,Governor (DEM),Voids/Blanks,,1
200,New Haven 3,Governor (DEM),,,
201,New Haven 3,Governor (DEM),Ballots,,22
202,New Haven 3,Governor (DEM),Cynthia E. Nixon,,11
203,New Haven 3,Governor (DEM),Andrew M. Cuomo,,11
204,New Haven 3,Governor (DEM),Write-ins,,0
205,New Haven 3,Governor (DEM),Voids/Blanks,,0
206,Orwell 1,Governor (DEM),,,
207,Orwell 1,Governor (DEM),Ballots,,20
208,Orwell 1,Governor (DEM),Cynthia E. Nixon,,10
209,Orwell 1,Governor (DEM),Andrew M. Cuomo,,9
210,Orwell 1,Governor (DEM),Write-ins,,0
211,Orwell 1,Governor (DEM),Voids/Blanks,,1
212,Oswego Town 1,Governor (DEM),,,
213,Oswego Town 1,Governor (DEM),Ballots,,4
214,Oswego Town 1,Governor (DEM),Cynthia E. Nixon,,3
215,Oswego Town 1,Governor (DEM),Andrew M. Cuomo,,1
216,Oswego Town 1,Governor (DEM),Write-ins,,0
217,Oswego Town 1,Governor (DEM),Voids/Blanks,,0
218,Oswego Town 2,Governor (DEM),,,
219,Oswego Town 2,Governor (DEM),Ballots,,5
220,Oswego Town 2,Governor (DEM),Cynthia E. Nixon,,2
221,Oswego Town 2,Governor (DEM),Andrew M. Cuomo,,3
222,Oswego Town 2,Governor (DEM),Write-ins,,0
223,Oswego Town 2,Governor (DEM),Voids/Blanks,,0
224,Oswego Town 3,Governor (DEM),,,
225,Oswego Town 3,Governor (DEM),Ballots,,74
226,Oswego Town 3,Governor (DEM),Cynthia E. Nixon,,24
227,Oswego Town 3,Governor (DEM),Andrew M. Cuomo,,46
228,Oswego Town 3,Governor (DEM),Write-ins,,0
229,Oswego Town 3,Governor (DEM),Voids/Blanks,,4
230,Oswego Town 4,Governor (DEM),,,
231,Oswego Town 4,Governor (DEM),Ballots,,47
232,Oswego Town 4,Governor (DEM),Cynthia E. Nixon,,24
233,Oswego Town 4,Governor (DEM),Andrew M. Cuomo,,23
234,Oswego Town 4,Governor (DEM),Write-ins,,0
235,Oswego Town 4,Governor (DEM),Voids/Blanks,,0
236,Oswego Town 5,Governor (DEM),,,
237,Oswego Town 5,Governor (DEM),Ballots,,33
238,Oswego Town 5,Governor (DEM),Cynthia E. Nixon,,20
239,Oswego Town 5,Governor (DEM),Andrew M. Cuomo,,13
240,Oswego Town 5,Governor (DEM),Write-ins,,0
241,Oswego Town 5,Governor (DEM),Voids/Blanks,,0
242,Oswego Town 6,Governor (DEM),,,
243,Oswego Town 6,Governor (DEM),Ballots,,23
244,Oswego Town 6,Governor (DEM),Cynthia E. Nixon,,10
245,Oswego Town 6,Governor (DEM),Andrew M. Cuomo,,13
246,Oswego Town 6,Governor (DEM),Write-ins,,0
247,Oswego Town 6,Governor (DEM),Voids/Blanks,,0
248,Oswego Town 7,Governor (DEM),,,
249,Oswego Town 7,Governor (DEM),Ballots,,56
250,Oswego Town 7,Governor (DEM),Cynthia E. Nixon,,24
251,Oswego Town 7,Governor (DEM),Andrew M. Cuomo,,30
252,Oswego Town 7,Governor (DEM),Write-ins,,0
253,Oswego Town 7,Governor (DEM),Voids/Blanks,,2
254,Palermo 1,Governor (DEM),,,
255,Palermo 1,Governor (DEM),Ballots,,48
256,Palermo 1,Governor (DEM),Cynthia E. Nixon,,27
257,Palermo 1,Governor (DEM),Andrew M. Cuomo,,21
258,Palermo 1,Governor (DEM),Write-ins,,0
259,Palermo 1,Governor (DEM),Voids/Blanks,,0
260,Palermo 2,Governor (DEM),,,
261,Palermo 2,Governor (DEM),Ballots,,17
262,Palermo 2,Governor (DEM),Cynthia E. Nixon,,9
263,Palermo 2,Governor (DEM),Andrew M. Cuomo,,7
264,Palermo 2,Governor (DEM),Write-ins,,0
265,Palermo 2,Governor (DEM),Voids/Blanks,,1
266,Palermo 3,Governor (DEM),,,
267,Palermo 3,Governor (DEM),Ballots,,16
268,Palermo 3,Governor (DEM),Cynthia E. Nixon,,8
269,Palermo 3,Governor (DEM),Andrew M. Cuomo,,8
270,Palermo 3,Governor (DEM),Write-ins,,0
271,Palermo 3,Governor (DEM),Voids/Blanks,,0
272,Palermo 4,Governor (DEM),,,
273,Palermo 4,Governor (DEM),Ballots,,1
274,Palermo 4,Governor (DEM),Cynthia E. Nixon,,1
275,Palermo 4,Governor (DEM),Andrew M. Cuomo,,0
276,Palermo 4,Governor (DEM),Write-ins,,0
277,Palermo 4,Governor (DEM),Voids/Blanks,,0
278,Parish 1,Governor (DEM),,,
279,Parish 1,Governor (DEM),Ballots,,30
280,Parish 1,Governor (DEM),Cynthia E. Nixon,,18
281,Parish 1,Governor (DEM),Andrew M. Cuomo,,9
282,Parish 1,Governor (DEM),Write-ins,,1
283,Parish 1,Governor (DEM),Voids/Blanks,,2
284,Parish 2,Governor (DEM),,,
285,Parish 2,Governor (DEM),Ballots,,30
286,Parish 2,Governor (DEM),Cynthia E. Nixon,,13
287,Parish 2,Governor (DEM),Andrew M. Cuomo,,16
288,Parish 2,Governor (DEM),Write-ins,,0
289,Parish 2,Governor (DEM),Voids/Blanks,,1
290,Redfield 1,Governor (DEM),,,
291,Redfield 1,Governor (DEM),Ballots,,21
292,Redfield 1,Governor (DEM),Cynthia E. Nixon,,14
293,Redfield 1,Governor (DEM),Andrew M. Cuomo,,7
294,Redfield 1,Governor (DEM),Write-ins,,0
295,Redfield 1,Governor (DEM),Voids/Blanks,,0
296,Richland 1,Governor (DEM),,,
297,Richland 1,Governor (DEM),Ballots,,29
298,Richland 1,Governor (DEM),Cynthia E. Nixon,,12
299,Richland 1,Governor (DEM),Andrew M. Cuomo,,16
300,Richland 1,Governor (DEM),Write-ins,,1
301,Richland 1,Governor (DEM),Voids/Blanks,,0
302,Richland 2,Governor (DEM),,,
303,Richland 2,Governor (DEM),Ballots,,27
304,Richland 2,Governor (DEM),Cynthia E. Nixon,,7
305,Richland 2,Governor (DEM),Andrew M. Cuomo,,18
306,Richland 2,Governor (DEM),Write-ins,,1
307,Richland 2,Governor (DEM),Voids/Blanks,,1
308,Richland 3,Governor (DEM),,,
309,Richland 3,Governor (DEM),Ballots,,15
310,Richland 3,Governor (DEM),Cynthia E. Nixon,,7
311,Richland 3,Governor (DEM),Andrew M. Cuomo,,8
312,Richland 3,Governor (DEM),Write-ins,,0
313,Richland 3,Governor (DEM),Voids/Blanks,,0
314,Richland 4,Governor (DEM),,,
315,Richland 4,Governor (DEM),Ballots,,25
316,Richland 4,Governor (DEM),Cynthia E. Nixon,,11
317,Richland 4,Governor (DEM),Andrew M. Cuomo,,14
318,Richland 4,Governor (DEM),Write-ins,,0
319,Richland 4,Governor (DEM),Voids/Blanks,,0
320,Richland 5,Governor (DEM),,,
321,Richland 5,Governor (DEM),Ballots,,3
322,Richland 5,Governor (DEM),Cynthia E. Nixon,,2
323,Richland 5,Governor (DEM),Andrew M. Cuomo,,1
324,Richland 5,Governor (DEM),Write-ins,,0
325,Richland 5,Governor (DEM),Voids/Blanks,,0
326,Richland 6,Governor (DEM),,,
327,Richland 6,Governor (DEM),Ballots,,3
328,Richland 6,Governor (DEM),Cynthia E. Nixon,,0
329,Richland 6,Governor (DEM),Andrew M. Cuomo,,3
330,Richland 6,Governor (DEM),Write-ins,,0
331,Richland 6,Governor (DEM),Voids/Blanks,,0
332,Sandy Creek 1,Governor (DEM),,,
333,Sandy Creek 1,Governor (DEM),Ballots,,47
334,Sandy Creek 1,Governor (DEM),Cynthia E. Nixon,,30
335,Sandy Creek 1,Governor (DEM),Andrew M. Cuomo,,17
336,Sandy Creek 1,Governor (DEM),Write-ins,,0
337,Sandy Creek 1,Governor (DEM),Voids/Blanks,,0
338,Sandy Creek 2,Governor (DEM),,,
339,Sandy Creek 2,Governor (DEM),Ballots,,34
340,Sandy Creek 2,Governor (DEM),Cynthia E. Nixon,,16
341,Sandy Creek 2,Governor (DEM),Andrew M. Cuomo,,17
342,Sandy Creek 2,Governor (DEM),Write-ins,,0
343,Sandy Creek 2,Governor (DEM),Voids/Blanks,,1
344,Sandy Creek 3,Governor (DEM),,,
345,Sandy Creek 3,Governor (DEM),Ballots,,18
346,Sandy Creek 3,Governor (DEM),Cynthia E. Nixon,,9
347,Sandy Creek 3,Governor (DEM),Andrew M. Cuomo,,8
348,Sandy Creek 3,Governor (DEM),Write-ins,,0
349,Sandy Creek 3,Governor (DEM),Voids/Blanks,,1
350,Schroeppel 1,Governor (DEM),,,
351,Schroeppel 1,Governor (DEM),Ballots,,53
352,Schroeppel 1,Governor (DEM),Cynthia E. Nixon,,23
353,Schroeppel 1,Governor (DEM),Andrew M. Cuomo,,28
354,Schroeppel 1,Governor (DEM),Write-ins,,1
355,Schroeppel 1,Governor (DEM),Voids/Blanks,,1
356,Schroeppel 2,Governor (DEM),,,
357,Schroeppel 2,Governor (DEM),Ballots,,30
358,Schroeppel 2,Governor (DEM),Cynthia E. Nixon,,11
359,Schroeppel 2,Governor (DEM),Andrew M. Cuomo,,19
360,Schroeppel 2,Governor (DEM),Write-ins,,0
361,Schroeppel 2,Governor (DEM),Voids/Blanks,,0
362,Schroeppel 3,Governor (DEM),,,
363,Schroeppel 3,Governor (DEM),Ballots,,8
364,Schroeppel 3,Governor (DEM),Cynthia E. Nixon,,5
365,Schroeppel 3,Governor (DEM),Andrew M. Cuomo,,2
366,Schroeppel 3,Governor (DEM),Write-ins,,0
367,Schroeppel 3,Governor (DEM),Voids/Blanks,,1
368,Schroeppel 4,Governor (DEM),,,
369,Schroeppel 4,Governor (DEM),Ballots,,49
370,Schroeppel 4,Governor (DEM),Cynthia E. Nixon,,33
371,Schroeppel 4,Governor (DEM),Andrew M. Cuomo,,14
372,Schroeppel 4,Governor (DEM),Write-ins,,0
373,Schroeppel 4,Governor (DEM),Voids/Blanks,,2
374,Schroeppel 5,Governor (DEM),,,
375,Schroeppel 5,Governor (DEM),Ballots,,49
376,Schroeppel 5,Governor (DEM),Cynthia E. Nixon,,25
377,Schroeppel 5,Governor (DEM),Andrew M. Cuomo,,24
378,Schroeppel 5,Governor (DEM),Write-ins,,0
379,Schroeppel 5,Governor (DEM),Voids/Blanks,,0
380,Scriba 1,Governor (DEM),,,
381,Scriba 1,Governor (DEM),Ballots,,32
382,Scriba 1,Governor (DEM),Cynthia E. Nixon,,14
383,Scriba 1,Governor (DEM),Andrew M. Cuomo,,18
384,Scriba 1,Governor (DEM),Write-ins,,0
385,Scriba 1,Governor (DEM),Voids/Blanks,,0
386,Scriba 2,Governor (DEM),,,
387,Scriba 2,Governor (DEM),Ballots,,23
388,Scriba 2,Governor (DEM),Cynthia E. Nixon,,19
389,Scriba 2,Governor (DEM),Andrew M. Cuomo,,4
390,Scriba 2,Governor (DEM),Write-ins,,0
391,Scriba 2,Governor (DEM),Voids/Blanks,,0
392,Scriba 3,Governor (DEM),,,
393,Scriba 3,Governor (DEM),Ballots,,55
394,Scriba 3,Governor (DEM),Cynthia E. Nixon,,23
395,Scriba 3,Governor (DEM),Andrew M. Cuomo,,32
396,Scriba 3,Governor (DEM),Write-ins,,0
397,Scriba 3,Governor (DEM),Voids/Blanks,,0
398,Scriba 4,Governor (DEM),,,
399,Scriba 4,Governor (DEM),Ballots,,29
400,Scriba 4,Governor (DEM),Cynthia E. Nixon,,19
401,Scriba 4,Governor (DEM),Andrew M. Cuomo,,10
402,Scriba 4,Governor (DEM),Write-ins,,0
403,Scriba 4,Governor (DEM),Voids/Blanks,,0
404,Scriba 5,Governor (DEM),,,
405,Scriba 5,Governor (DEM),Ballots,,26
406,Scriba 5,Governor (DEM),Cynthia E. Nixon,,11
407,Scriba 5,Governor (DEM),Andrew M. Cuomo,,14
408,Scriba 5,Governor (DEM),Write-ins,,1
409,Scriba 5,Governor (DEM),Voids/Blanks,,0
410,Scriba 6,Governor (DEM),,,
411,Scriba 6,Governor (DEM),Ballots,,16
412,Scriba 6,Governor (DEM),Cynthia E. Nixon,,9
413,Scriba 6,Governor (DEM),Andrew M. Cuomo,,7
414,Scriba 6,Governor (DEM),Write-ins,,0
415,Scriba 6,Governor (DEM),Voids/Blanks,,0
416,Volney 1,Governor (DEM),,,
417,Volney 1,Governor (DEM),Ballots,,29
418,Volney 1,Governor (DEM),Cynthia E. Nixon,,15
419,Volney 1,Governor (DEM),Andrew M. Cuomo,,14
420,Volney 1,Governor (DEM),Write-ins,,0
421,Volney 1,Governor (DEM),Voids/Blanks,,0
422,Volney 2,Governor (DEM),,,
423,Volney 2,Governor (DEM),Ballots,,32
424,Volney 2,Governor (DEM),Cynthia E. Nixon,,17
425,Volney 2,Governor (DEM),Andrew M. Cuomo,,15
426,Volney 2,Governor (DEM),Write-ins,,0
427,Volney 2,Governor (DEM),Voids/Blanks,,0
428,Volney 3,Governor (DEM),,,
429,Volney 3,Governor (DEM),Ballots,,34
430,Volney 3,Governor (DEM),Cynthia E. Nixon,,12
431,Volney 3,Governor (DEM),Andrew M. Cuomo,,22
432,Volney 3,Governor (DEM),Write-ins,,0
433,Volney 3,Governor (DEM),Voids/Blanks,,0
434,Volney 4,Governor (DEM),,,
435,Volney 4,Governor (DEM),Ballots,,56
436,Volney 4,Governor (DEM),Cynthia E. Nixon,,29
437,Volney 4,Governor (DEM),Andrew M. Cuomo,,27
438,Volney 4,Governor (DEM),Write-ins,,0
439,Volney 4,Governor (DEM),Voids/Blanks,,0
440,Volney 5,Governor (DEM),,,
441,Volney 5,Governor (DEM),Ballots,,8
442,Volney 5,Governor (DEM),Cynthia E. Nixon,,3
443,Volney 5,Governor (DEM),Andrew M. Cuomo,,5
444,Volney 5,Governor (DEM),Write-ins,,0
445,Volney 5,Governor (DEM),Voids/Blanks,,0
446,West Monroe 1,Governor (DEM),,,
447,West Monroe 1,Governor (DEM),Ballots,,15
448,West Monroe 1,Governor (DEM),Cynthia E. Nixon,,7
449,West Monroe 1,Governor (DEM),Andrew M. Cuomo,,7
450,West Monroe 1,Governor (DEM),Write-ins,,0
451,West Monroe 1,Governor (DEM),Voids/Blanks,,1
452,West Monroe 2,Governor (DEM),,,
453,West Monroe 2,Governor (DEM),Ballots,,23
454,West Monroe 2,Governor (DEM),Cynthia E. Nixon,,13
455,West Monroe 2,Governor (DEM),Andrew M. Cuomo,,10
456,West Monroe 2,Governor (DEM),Write-ins,,0
457,West Monroe 2,Governor (DEM),Voids/Blanks,,0
458,West Monroe 3,Governor (DEM),,,
459,West Monroe 3,Governor (DEM),Ballots,,51
460,West Monroe 3,Governor (DEM),Cynthia E. Nixon,,29
461,West Monroe 3,Governor (DEM),Andrew M. Cuomo,,22
462,West Monroe 3,Governor (DEM),Write-ins,,0
463,West Monroe 3,Governor (DEM),Voids/Blanks,,0
464,Williamstown 1,Governor (DEM),,,
465,Williamstown 1,Governor (DEM),Ballots,,24
466,Williamstown 1,Governor (DEM),Cynthia E. Nixon,,18
467,Williamstown 1,Governor (DEM),Andrew M. Cuomo,,5
468,Williamstown 1,Governor (DEM),Write-ins,,0
469,Williamstown 1,Governor (DEM),Voids/Blanks,,1
470,Oswego 1 1,Governor (DEM),,,
471,Oswego 1 1,Governor (DEM),Ballots,,97
472,Oswego 1 1,Governor (DEM),Cynthia E. Nixon,,42
473,Oswego 1 1,Governor (DEM),Andrew M. Cuomo,,52
474,Oswego 1 1,Governor (DEM),Write-ins,,1
475,Oswego 1 1,Governor (DEM),Voids/Blanks,,2
476,Oswego 1 2,Governor (DEM),,,
477,Oswego 1 2,Governor (DEM),Ballots,,36
478,Oswego 1 2,Governor (DEM),Cynthia E. Nixon,,9
479,Oswego 1 2,Governor (DEM),Andrew M. Cuomo,,27
480,Oswego 1 2,Governor (DEM),Write-ins,,0
481,Oswego 1 2,Governor (DEM),Voids/Blanks,,0
482,Oswego 2 1,Governor (DEM),,,
483,Oswego 2 1,Governor (DEM),Ballots,,25
484,Oswego 2 1,Governor (DEM),Cynthia E. Nixon,,6
485,Oswego 2 1,Governor (DEM),Andrew M. Cuomo,,19
486,Oswego 2 1,Governor (DEM),Write-ins,,0
487,Oswego 2 1,Governor (DEM),Voids/Blanks,,0
488,Oswego 2 2,Governor (DEM),,,
489,Oswego 2 2,Governor (DEM),Ballots,,74
490,Oswego 2 2,Governor (DEM),Cynthia E. Nixon,,36
491,Oswego 2 2,Governor (DEM),Andrew M. Cuomo,,37
492,Oswego 2 2,Governor (DEM),Write-ins,,0
493,Oswego 2 2,Governor (DEM),Voids/Blanks,,1
494,Oswego 3 1,Governor (DEM),,,
495,Oswego 3 1,Governor (DEM),Ballots,,71
496,Oswego 3 1,Governor (DEM),Cynthia E. Nixon,,37
497,Oswego 3 1,Governor (DEM),Andrew M. Cuomo,,34
498,Oswego 3 1,Governor (DEM),Write-ins,,0
499,Oswego 3 1,Governor (DEM),Voids/Blanks,,0
500,Oswego 3 2,Governor (DEM),,,
501,Oswego 3 2,Governor (DEM),Ballots,,22
502,Oswego 3 2,Governor (DEM),Cynthia E. Nixon,,5
503,Oswego 3 2,Governor (DEM),Andrew M. Cuomo,,17
504,Oswego 3 2,Governor (DEM),Write-ins,,0
