Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 005002 ",0,76,219,295,55.98
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 005003 ",0,63,184,247,51.24
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 005004 ",0,40,199,239,61.60
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 005005 ",0,42,206,248,55.73
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 005006 ",0,70,167,237,53.86
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006001 ",0,110,293,403,62.19
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006002 ",0,70,259,329,52.39
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006003 ",0,75,217,292,57.94
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006004 ",0,81,214,295,60.33
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006005 ",0,52,173,225,62.85
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006006 ",0,48,117,165,62.26
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006007 ",0,49,242,291,65.39
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006008 ",0,74,176,250,51.87
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006009 ",0,65,209,274,52.79
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Niagara Falls 006010 ",0,119,168,287,44.77
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 001001 ",0,66,154,220,47.21
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 001002 ",0,52,142,194,44.50
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 001003 ",0,101,190,291,48.66
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 001004 ",0,22,73,95,54.91
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 002001 ",0,55,188,243,54.36
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 002002 ",0,63,152,215,53.22
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 002003 ",0,80,165,245,45.79
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 002004 ",0,126,213,339,48.85
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 003001 ",0,50,212,262,41.92
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 003002 ",0,55,147,202,45.60
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 003003 ",0,51,168,219,46.50
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 004001 ",0,58,147,205,45.35
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 004002 ",0,60,146,206,48.24
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 004003 ",0,99,181,280,47.38
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 004004 ",0,35,130,165,55.18
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 005001 ",0,62,150,212,52.74
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 005002 ",0,77,129,206,42.92
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 005003 ",0,124,264,388,49.81
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of Lockport 005004 ",0,37,147,184,47.30
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001001 ",0,52,155,207,41.48
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001002 ",0,50,223,273,44.17
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001003 ",0,37,160,197,43.39
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001004 ",0,63,230,293,43.34
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001005 ",0,55,170,225,42.45
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001006 ",0,44,202,246,46.95
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001007 ",0,32,129,161,44.48
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001008 ",0,23,117,140,45.02
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001009 ",0,41,256,297,40.91
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 001010 ",0,39,203,242,47.64
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002001 ",0,27,136,163,45.15
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002002 ",0,38,146,184,41.44
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002003 ",0,52,203,255,44.66
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002004 ",0,22,141,163,42.78
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002005 ",0,58,214,272,50.18
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002006 ",0,0,2,2,22.22
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002007 ",0,67,252,319,47.33
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002008 ",0,33,114,147,46.08
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002009 ",0,41,116,157,47.01
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002010 ",0,20,90,110,43.65
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 002011 ",0,40,172,212,51.21
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003001 ",0,30,154,184,41.07
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003002 ",0,18,118,136,39.19
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003003 ",0,23,118,141,45.63
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003004 ",0,74,263,337,44.23
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003005 ",0,63,206,269,46.70
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003006 ",0,71,191,262,44.48
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003007 ",0,29,145,174,39.82
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003008 ",0,25,123,148,34.82
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003009 ",0,45,156,201,41.27
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003010 ",0,21,130,151,38.82
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003011 ",0,38,140,178,39.29
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"City of North Tonawanda 003012 ",0,82,299,381,44.35
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Cambria 000001 ",0,69,133,202,31.32
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Cambria 000002 ",0,78,177,255,30.58
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Cambria 000003 ",0,67,216,283,32.23
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Cambria 000004 ",0,97,200,297,33.00
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Hartland 000001 ",0,41,137,178,26.81
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Hartland 000002 ",0,49,128,177,23.82
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Hartland 000003 ",0,37,111,148,24.34
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000001 ",0,51,189,240,46.42
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000002 ",0,61,230,291,48.58
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000003 ",0,65,261,326,51.58
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000004 ",0,89,203,292,39.04
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000005 ",0,107,208,315,41.61
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000006 ",0,47,149,196,30.82
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000007 ",0,37,193,230,37.10
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000008 ",0,51,171,222,34.47
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000009 ",0,88,151,239,32.61
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000010 ",0,42,186,228,38.19
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000011 ",0,77,319,396,48.95
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000012 ",0,60,148,208,36.68
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000013 ",0,89,270,359,50.78
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lewiston 000014 ",0,77,223,300,46.15
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000001 ",0,63,116,179,34.10
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000002 ",0,80,145,225,36.82
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000003 ",0,50,150,200,44.54
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000004 ",0,117,202,319,46.37
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000005 ",0,101,209,310,42.41
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000006 ",0,102,221,323,40.48
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000007 ",0,76,150,226,41.24
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000008 ",0,58,114,172,38.39
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000009 ",0,99,190,289,35.90
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000010 ",0,69,128,197,45.60
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000011 ",0,144,202,346,45.23
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000012 ",0,103,183,286,42.06
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000013 ",0,109,215,324,44.51
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000014 ",0,177,211,388,40.80
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000015 ",0,149,184,333,43.30
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Lockport 000016 ",0,97,144,241,35.34
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Newfane 000001 ",0,24,105,129,36.03
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Newfane 000002 ",0,55,126,181,31.81
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Newfane 000003 ",0,39,142,181,31.15
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Newfane 000004 ",0,102,175,277,32.44
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Newfane 000005 ",0,91,152,243,30.26
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Newfane 000006 ",0,57,141,198,32.35
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Newfane 000007 ",0,57,124,181,27.55
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Newfane 000008 ",0,39,116,155,32.70
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Niagara 000001 ",0,21,99,120,33.99
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Niagara 000002 ",0,13,64,77,32.08
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Niagara 000003 ",0,63,170,233,39.63
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Niagara 000004 ",0,55,130,185,47.68
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Niagara 000005 ",0,103,222,325,41.51
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Niagara 000006 ",0,33,104,137,34.34
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Niagara 000007 ",0,86,200,286,37.68
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Pendleton 000001 ",0,79,154,233,35.30
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Pendleton 000002 ",0,67,137,204,35.42
"PRESIDENTIAL ELECTORS FOR PRESIDENT AND VICE PRESIDENT ",Joseph R. BIDEN and Kamala D. HARRIS,DEM,"Town of Pendleton 000003 ",0,88,216,304,36.71
