Contest,Candidate Issue,Party,District Name,Total Votes,% of Total Votes
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/1,3/2, 3/3, 3/11 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/6, 3/7, 3/9, 3/10, 3/12 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 4/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 4/2, 4/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 4/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 4/5, 4/6, 4/7, 4/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 5/1, 5/2, 5/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 5/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 5/5, 5/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 6/1, 6/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 6/3, 6/4, 6/5, 6/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 6/6, 6/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 6/9, 6/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/11 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/11 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/12 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/1, 3/2, 3/3, 3/11 ",6,1.48
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/4, 3/5, 3/8 ",4,1.29
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/6, 3/7, 3/9, 3/10, 3/12 ",6,1.35
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 4/1 ",1,0.60
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 4/2, 4/4 ",4,2.04
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 4/3 ",3,2.70
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 4/5, 4/6, 4/7, 4/8 ",2,0.57
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 5/1, 5/2, 5/3 ",7,1.73
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 5/4 ",2,2.04
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 5/5, 5/6 ",5,2.45
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 6/1, 6/2 ",10,3.94
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 6/3, 6/4, 6/5, 6/8 ",4,1.23
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 6/6, 6/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 6/9, 6/10 ",4,2.29
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8, 1/9, 1/10, 2/4, 2/6 ",6,1.40
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/4, 1/5, 1/6, 1/7 ",5,1.94
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/1, 2/2, 2/3, 2/5, 2/7, 2/8, 2/9, 2/10, 2/11 ",5,1.01
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",6,1.68
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",5,1.34
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/10, 2/4, 2/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/1, 1/2, 1/3, 1/8, 1/9, 1/10, 2/4, 2/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/4, 1/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/6, 1/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/7, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 1/4, 1/5, 1/6, 1/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 2/1, 2/2, 2/3, 2/5, 2/7, 2/8, 2/9, 2/10, 2/11  ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Amy Klobuchar,DM2,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 3/1,3/2, 3/3, 3/11 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 3/6, 3/7, 3/9, 3/10, 3/12 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 4/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 4/2, 4/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 4/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 4/5, 4/6, 4/7, 4/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 5/1, 5/2, 5/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 5/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 5/5, 5/6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 6/1, 6/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 6/3, 6/4, 6/5, 6/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 6/6, 6/7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of Niagara Falls 6/9, 6/10 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of North Tonawanda 1/1 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of North Tonawanda 1/2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of North Tonawanda 1/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of North Tonawanda 1/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of North Tonawanda 1/9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 26th Congressional District - Democratic,Joseph R. Biden,DM3,"City of North Tonawanda 1/10 ",0,0.00
